ra,dec,id,a,b,nested
4.828833399717624,4.321889259668843,12402,0.9270497866665652,1.06462578801265,"          t       flux  flux_error band  flux_err
0  5.125617  43.466306         1.0    r  2.173315"
4.664015421643308,4.7576002611320245,673165,0.5197044896689769,0.7901367631605465,"         t       flux  flux_error band  flux_err
0  16.2366  85.744677         1.0    r  4.287234"
4.631899856571386,4.244683789915424,676806,0.711917345099047,1.0286826056252425,"           t       flux  flux_error band  flux_err
0  16.360514  96.563769         1.0    r  4.828188"
5.53010978611988,4.27358515715959,814189,0.9739008820481776,0.724541894971408,"         t       flux  flux_error band  flux_err
0  6.30409  66.247886         1.0    r  3.312394"
5.556558593027864,5.37303745477449,265855,0.7906737260600197,0.8778207200639807,"          t       flux  flux_error band  flux_err
0  9.426193  21.281005         1.0    g   1.06405"
5.920870337701895,5.373332422137537,21360,0.8783226957502863,0.47453903822944077,"          t       flux  flux_error band  flux_err
0  12.39695  11.212865         1.0    g  0.560643"
4.172353779811435,4.84931460430955,700423,0.6389477266328144,0.5366142885667113,"           t       flux  flux_error band  flux_err
0  17.808175  54.105965         1.0    g  2.705298"
5.716513097292383,5.0436355547125125,793385,0.19691898159965548,1.588753738244529,"          t       flux  flux_error band  flux_err
0  7.973783  21.620973         1.0    r  1.081049"
5.008301560062978,5.3930128808471265,325896,0.27812733585338634,0.7018468547513559,"          t       flux  flux_error band  flux_err
0  1.793229  88.303909         1.0    g  4.415195"
5.28510738588381,5.744384609245771,811820,0.7492995269097714,1.0949724190020018,"          t       flux  flux_error band  flux_err
0  7.206869  89.680019         1.0    g  4.484001"
5.526401748483392,4.484420685265015,946600,0.6554143921649142,0.5453124947509109,"          t       flux  flux_error band  flux_err
0  19.23373  18.469854         1.0    g  0.923493"
4.336468993489269,5.487916182690885,662748,0.5683177735707488,1.776600301059479,"          t       flux  flux_error band  flux_err
0  9.950647  84.511927         1.0    g  4.225596"
4.0093706565207015,5.106455857168809,639774,0.7950025617859884,1.0437588700403677,"          t       flux  flux_error band  flux_err
0  3.338327  40.138291         1.0    g  2.006915"
4.089927419995961,4.648939207299828,869572,0.6712117391680588,1.5039903901771512,"           t       flux  flux_error band  flux_err
0  17.586144  63.262826         1.0    g  3.163141"
5.5959158191178835,5.387638438875974,201685,0.23667007308016597,0.10425823819487112,"           t       flux  flux_error band  flux_err
0  19.900948  64.119146         1.0    r  3.205957"
5.194877359896932,4.561951920213825,605947,0.31946740030764287,1.0935307758122714,"          t       flux  flux_error band  flux_err
0  1.946147  11.592971         1.0    g  0.579649"
4.71628693384432,5.261148715764178,829351,0.1863315206383952,1.6661554292343945,"          t      flux  flux_error band  flux_err
0  8.115579  3.453843         1.0    g  0.172692"
4.1813828039852945,5.196408476427142,271045,0.16470979122035057,1.3524298595438007,"           t      flux  flux_error band  flux_err
0  15.738928  3.133449         1.0    g  0.156672"
5.250734937130719,5.550268463555921,947193,0.048150779308473446,0.5943742421472802,"          t       flux  flux_error band  flux_err
0  2.193257  85.363946         1.0    g  4.268197"
4.704461026185631,4.29076269736714,414730,0.27114396573876953,0.11902647267247701,"          t       flux  flux_error band  flux_err
0  5.873355  34.345653         1.0    g  1.717283"
4.727286945144504,4.212491886042242,127575,0.7190174528337683,1.0483941833592607,"          t       flux  flux_error band  flux_err
0  12.08953  13.324754         1.0    r  0.666238"
4.3528497399441815,5.6207150997340545,131414,0.38947220609335786,1.9394132626960847,"           t       flux  flux_error band  flux_err
0  10.709868  53.310168         1.0    g  2.665508"
4.433275375375244,5.2309460436092365,856669,0.7786609374307272,1.9205886993402974,"           t       flux  flux_error band  flux_err
0  11.830218  62.180997         1.0    g   3.10905"
5.398096192374981,4.689579991822292,447212,0.036692123389197695,1.6028190014178028,"           t       flux  flux_error band  flux_err
0  14.464281  27.353162         1.0    g  1.367658"
4.999029813685997,5.867032046751438,414637,0.621657296811427,0.34986227992469554,"           t      flux  flux_error band  flux_err
0  16.879051  98.20715         1.0    g  4.910358"
4.950468399745197,4.236108376079054,114416,0.4017379248366869,0.6927398011571535,"          t       flux  flux_error band  flux_err
0  4.059176  87.144561         1.0    g  4.357228"
4.410474455380834,5.561481016366596,498811,0.7454119550655729,1.5202896595754407,"          t       flux  flux_error band  flux_err
0  7.683349  68.114225         1.0    g  3.405711"
5.235003109695813,4.258111629427593,857352,0.5145320967330732,0.7664692130865778,"          t       flux  flux_error band  flux_err
0  7.523643  74.838302         1.0    r  3.741915"
4.813063973454556,5.283740142738665,966860,0.7178957549691604,1.462751831085918,"          t       flux  flux_error band  flux_err
0  6.821468  95.557098         1.0    g  4.777855"
5.695655456856029,5.114759915357139,498181,0.42172824664738484,0.9846207479006004,"          t      flux  flux_error band  flux_err
0  1.985163  45.23426         1.0    r  2.261713"
4.989266110984035,4.801444462644131,910598,0.8076022173697331,0.6231392801181361,"          t       flux  flux_error band  flux_err
0  7.607476  16.251228         1.0    r  0.812561"
5.533053151094515,4.915327778036554,698812,0.5946278274712645,0.7274152135732008,"          t       flux  flux_error band  flux_err
0  6.928471  82.045766         1.0    g  4.102288"
4.285018178627704,5.451287903765973,768090,0.03147312157756954,0.4167487498988611,"          t       flux  flux_error band  flux_err
0  4.460268  50.387832         1.0    r  2.519392"
4.9433035217785575,4.4690945302201195,149020,0.4117579017500078,0.14754422956840485,"           t       flux  flux_error band  flux_err
0  17.918809  77.241328         1.0    g  3.862066"
5.55703574692749,4.605140913676281,339763,0.4868707354513909,0.7872802052785237,"           t       flux  flux_error band  flux_err
0  18.585494  67.200216         1.0    r  3.360011"
5.039215828667856,5.5828948420168,123111,0.21098002202247013,0.8129780085772442,"          t       flux  flux_error band  flux_err
0  9.222905  24.843554         1.0    r  1.242178"
